#header_line 1:	mpirun -np 2 --map-by core ./IMB-MPI1 PingPong					
#header_line 2:	ct1pt-tnode008.hpc,ct1pt-tnode009.hpc					
	Bytes	Repetition	t_usec	Mbytes.sec	est_lat	est_band
1	0	1000	0,198	0	0,210727272727273	0
2	1	1000	0,193	5,146	0,210796707562478	4,74390711109002
3	2	1000	0,193	10,261	0,210866142397682	9,48469003728491
4	4	1000	0,196	20,477	0,211005012068092	18,9568956717919
5	8	1000	0,195	41,197	0,211282751408911	37,8639521998509
6	16	1000	0,195	82,027	0,211838230090549	75,5293319490107
7	32	1000	0,225	141,376	0,212949187453826	150,270589818234
8	64	1000	0,226	284,47	0,215171102180379	297,437710507931
9	128	1000	0,318	403,529	0,219614931633485	582,838330016736
10	256	1000	0,342	746,274	0,228502590539697	1120,33740797142
11	512	1000	0,388	1314,417	0,246277908352121	2078,95220251731
12	1024	1000	0,506	2025,823	0,28182854397697	3633,41479024806
13	2048	1000	0,752	2722,434	0,352929815226667	5802,85346162858
14	4096	1000	1,13	3627,764	0,495132357726062	8272,53548689736
15	8192	1000	1,87	4383,351	0,77953744272485	10508,7960513675
16	16384	1000	2,957	5542,904	1,34834761272243	12151,1692129
17	32768	1000	4,819	6797,236	2,48596795271758	13181,1835965862
18	65536	640	8,348	7849,523	4,76120863270789	13764,5722033246
19	131072	320	15,132	8662,121	9,31168999268851	14076,0699833131
20	262144	160	12,619	20773,771	18,4126527126498	14237,1663709218
21	524288	80	22,307	23503,138	36,6145781525722	14319,105297767
22	1048576	40	50,33	20837,122	73,0184290324172	14360,4294682165
23	2097152	20	138,272	15167,37	145,826130792107	14381,1811271997
24	4194304	10	298,07	14071,893	291,441534311487	14391,5794634721
