#header_line 1:	mpirun -np 2 --map-by core --mca pml ob1 --mca btl vader,self ./IMB-MPI1 PingPong					
#header_line 2:	ct1pt-tnode008.hpc,ct1pt-tnode009.hpc					
	Bytes	Repetition	t_usec	Mbytes.sec	est_lat	est_band
1	0	1000	0,266	0	0,305412424784518	0
2	1	1000	0,291	3,445	0,30551314340392	3,2731816014799
3	2	1000	0,29	6,912	0,305613862023322	6,54420577247041
4	4	1000	0,29	13,828	0,305815299262126	13,0797903494404
5	8	1000	0,289	27,669	0,306218173739735	26,1251639714875
6	16	1000	0,317	50,466	0,307023922694951	52,113202969845
7	32	1000	0,314	101,881	0,308635420605385	103,682201923656
8	64	1000	0,351	182,896	0,311858416426252	205,221333236439
9	128	1000	0,403	317,413	0,318304408067985	402,130780333589
10	256	1000	0,463	553,706	0,331196391351452	772,955281775226
11	512	1000	0,675	757,787	0,356980357918387	1434,25258181027
12	1024	1000	0,767	1332,832	0,408548291052256	2506,43564647545
13	2048	1000	0,901	2277,763	0,511684157319994	4002,46904404201
14	4096	1000	1,807	2266,014	0,71795588985547	5705,08586652107
15	8192	1000	2,112	3880,468	1,13049935492642	7246,35530688398
16	16384	1000	2,505	6540,019	1,95558628506833	8378,05016587522
17	32768	1000	3,459	9473,248	3,60576014535214	9087,68156479801
18	65536	640	4,831	13573,6	6,90610786591976	9489,57086572697
19	131072	320	8,144	16105,397	13,506803307055	9704,1466452345
20	262144	160	14,531	18039,873	26,7081941893255	9815,11509695297
21	524288	80	30,472	17206,684	53,1109759538664	9871,55650190669
22	1048576	40	82,604	12695,156	105,916539482948	9900,02132923548
23	2097152	20	197,309	10630,015	211,527666541112	9914,31539094864
24	4194304	10	427,438	9813,543	422,74992065744	9921,47791175744
