"";"Bytes";"Repetition";"t_usec";"Mbytes.sec";"est_lat";"est_band"
"1";"0";"1000";4,917;0;4,96891803545292;0
"2";"1";"1000";5,007;0,2;4,96906870532543;0,201244953391022
"3";"2";"1000";5,002;0,4;4,96921937519794;0,402477703033655
"4";"4";"1000";5,003;0,798;4,96952071494295;0,804906595513793
"5";"8";"1000";5,001;1,599;4,97012339443298;1,60961798432626
"6";"16";"1000";5,001;3,198;4,97132875341304;3,21845542582862
"7";"32";"1000";5,001;6,4;4,97373947137315;6,43379095028583
"8";"64";"1000";5,016;12,762;4,97856090729338;12,8551204237037
"9";"128";"1000";5,072;25,23;4,98820377913384;25,660539478246
"10";"256";"1000";5,111;50,095;5,00748952281477;51,123421992923
"11";"512";"1000";5,157;99,292;5,04606101017662;101,465281328828
"12";"1024";"1000";5,788;176,972;5,12320398490031;199,874922610548
"13";"2048";"1000";5,548;369,212;5,2774899343477;388,063269750818
"14";"4096";"1000";6,436;636,471;5,58606183324248;733,253609121336
"15";"8192";"1000";6,924;1182,941;6,20320563103205;1320,60751928307
"16";"16384";"1000";9,003;1820,313;7,43749322661118;2202,89276249401
"17";"32768";"1000";14,445;2268,559;9,90606841776943;3307,87135905714
"18";"65536";"640";29,258;2239,947;14,8432188000859;4415,21484542292
"19";"131072";"320";36,648;3576,55;24,717519564719;5302,79746140419
"20";"262144";"160";50,949;5145,435;44,466121093985;5895,36468553045
"21";"524288";"80";85,687;6118,726;83,9633241525171;6244,25015674279
"22";"1048576";"40";147,17;7124,952;162,957730269581;6434,65025111321
"23";"2097152";"20";305,999;6853,532;320,94654250371;6534,2719807482
"24";"4194304";"10";651,465;6438,417;636,924166971966;6585,24863319342
