"";"Bytes";"Repetition";"t_usec";"Mbytes.sec";"est_lat";"est_band"
"1";"0";"1000";0,22;0;0,240755082127175;0
"2";"1";"1000";0,223;4,482;0,240832937434851;4,15225596071349
"3";"2";"1000";0,228;8,797;0,240910792742527;8,30182814656002
"4";"4";"1000";0,221;18,097;0,241066503357879;16,5929315947381
"5";"8";"1000";0,223;36,074;0,241377924588583;33,1430474167661
"6";"16";"1000";0,222;72,168;0,242000767049992;66,115492917817
"7";"32";"1000";0,259;124,245;0,243246451972808;131,553820170735
"8";"64";"1000";0,257;250,044;0,245737821818441;260,440169634471
"9";"128";"1000";0,36;355,119;0,250720561509706;510,528531163348
"10";"256";"1000";0,383;666,175;0,260686040892237;982,024197090884
"11";"512";"1000";0,463;1103,939;0,280616999657298;1824,55090256569
"12";"1024";"1000";0,575;1786,53;0,320478917187421;3195,21798496701
"13";"2048";"1000";0,782;2610,608;0,400202752247667;5117,40608603458
"14";"4096";"1000";1,16;3534,931;0,559650422368159;7318,85447824338
"15";"8192";"1000";1,919;4264,087;0,878545762609144;9324,50004160403
"16";"16384";"1000";2,999;5463,446;1,51633644309111;10804,9899312586
"17";"32768";"1000";4,816;6803,323;2,79191780405505;11736,7352120492
"18";"65536";"640";8,16;8031,108;5,34308052598292;12265,5834366157
"19";"131072";"320";14,725;8901,35;10,4454059698387;12548,2916009654
"20";"262144";"160";13,919;18832,333;20,6500568575502;12694,5897441514
"21";"524288";"80";24,963;21002,63;41,0593586329731;12769,0255633697
"22";"1048576";"40";58,649;17879,584;81,8779621838191;12806,5717811333
"23";"2097152";"20";157,154;13346,6;163,515169285511;12825,427812989
"24";"4194304";"10";332,295;12626,678;326,789583488895;12834,8766665708
