"";"Bytes";"Repetition";"t_usec";"Mbytes.sec";"est_lat";"est_band"
"1";"0";"1000";0,29;0;0,325189624329159;0
"2";"1";"1000";0,319;3,15;0,32531667301283;3,07392790765619
"3";"2";"1000";0,319;6,259;0,325443721696501;6,14545577826553
"4";"4";"1000";0,318;12,548;0,325697819063842;12,2813226428634
"5";"8";"1000";0,315;25,375;0,326206013798525;24,5243792621832
"6";"16";"1000";0,334;47,923;0,32722240326789;48,8964075815467
"7";"32";"1000";0,333;96,253;0,329255182206621;97,189054961992
"8";"64";"1000";0,36;178,405;0,333320740084083;192,007253985622
"9";"128";"1000";0,405;316,591;0,341451855839006;374,869832484822
"10";"256";"1000";0,464;552,155;0,357714087348853;715,655348933298
"11";"512";"1000";0,711;719,434;0,390238550368547;1312,01799390772
"12";"1024";"1000";0,788;1299,906;0,455287476407936;2249,12841459865
"13";"2048";"1000";0,909;2252,364;0,585385328486712;3498,55027165494
"14";"4096";"1000";1,839;2229,58;0,845581032644264;4844,00647823328
"15";"8192";"1000";2,187;3743,695;1,36597244095937;5997,19273563563
"16";"16384";"1000";2,693;6085,303;2,40675525758958;6807,50564409651
"17";"32768";"1000";3,708;8843,366;4,48832089085;7300,72577181406
"18";"65536";"640";5,647;11609,443;8,65145215737084;7575,14447377078
"19";"131072";"320";9,349;14022,023;16,9777146904125;7720,23811155324
"20";"262144";"160";16,983;15437,115;33,6302397564959;7794,88941791934
"21";"524288";"80";36,799;14247,453;66,9352898886626;7832,75908526099
"22";"1048576";"40";98,518;10643,606;133,545390152996;7851,83224069884
"23";"2097152";"20";233,505;8981,321;266,765590681663;7861,40369393659
"24";"4194304";"10";544,978;7696,326;533,205991738997;7866,19817665722
