"";"Bytes";"Repetition";"t_usec";"Mbytes.sec";"est_lat";"est_band"
"1";"0";"1000";16,934;0;17,0237669539763;0
"2";"1";"1000";16,89;0,06;17,0242062840907;0,0587398897377383
"3";"2";"1000";16,938;0,12;17,0246456142051;0,117476747846735
"4";"4";"1000";16,903;0,238;17,025524274434;0,234941370117248
"5";"8";"1000";16,901;0,475;17,0272815948918;0,469834245438215
"6";"16";"1000";16,949;0,947;17,0307962358074;0,939474571738454
"7";"32";"1000";16,976;1,894;17,0378255176385;1,87817394695537
"8";"64";"1000";17,07;3,766;17,0518840813007;3,75325094252682
"9";"128";"1000";17,718;7,261;17,0800012086252;7,49414466875808
"10";"256";"1000";17,863;14,404;17,1362354632741;14,9391037809122
"11";"512";"1000";17,999;28,587;17,248703972572;29,6833895934533
"12";"1024";"1000";18,438;55,795;17,4736409911677;58,6025545859387
"13";"2048";"1000";41,162;49,791;17,9235150283591;114,263301409327
"14";"4096";"1000";42,023;97,564;18,8232631027419;217,603078575858
"15";"8192";"1000";71,585;114,636;20,6227592515076;397,231034901458
"16";"16384";"1000";50,366;325,565;24,221751549039;676,41681349217
"17";"32768";"1000";101,515;323,174;31,4197361441017;1042,91136786492
"18";"65536";"640";112,454;582,988;45,8157053342272;1430,42652125319
"19";"131072";"320";141,612;926,163;74,6076437144782;1756,81731085905
"20";"262144";"160";246,009;1071,432;132,19152047498;1983,06214391124
"21";"524288";"80";344,704;1528,262;247,359273995984;2119,54050289019
"22";"1048576";"40";543,728;1937,273;477,694781037992;2195,0752690275
"23";"2097152";"20";958,97;2202,614;938,365795122007;2234,89817180232
"24";"4194304";"10";1924,678;2210,181;1859,70782329004;2255,35643151718
