"";"Bytes";"Repetition";"t_usec";"Mbytes.sec";"est_lat";"est_band"
"1";"0";"1000";12,516;0;12,4642924052692;0
"2";"1";"1000";12,424;0,081;12,4646953930797;0,0802265894564253
"3";"2";"1000";12,438;0,161;12,4650983808902;0,160447991575111
"4";"4";"1000";12,464;0,322;12,4659043565113;0,320875235811567
"5";"8";"1000";12,404;0,647;12,4675163077534;0,641667498363318
"6";"16";"1000";12,41;1,291;12,4707402102377;1,28300323238753
"7";"32";"1000";12,419;2,58;12,4771880152062;2,56468043608873
"8";"64";"1000";12,485;5,136;12,4900836251432;5,12406497192419
"9";"128";"1000";12,62;10,162;12,5158748450172;10,2270118217872
"10";"256";"1000";12,784;20,065;12,5674572847652;20,3700712243784
"11";"512";"1000";12,888;39,783;12,6706221642612;40,4084340423431
"12";"1024";"1000";13,026;78,726;12,8769519232533;79,521924606308
"13";"2048";"1000";22,559;90,987;13,2896114412374;154,105333256403
"14";"4096";"1000";25,253;163,54;14,1149304772056;290,189172848898
"15";"8192";"1000";37,344;220,716;15,7655685491421;519,613357074
"16";"16384";"1000";41,075;399,738;19,066844693015;859,292676045247
"17";"32768";"1000";81,324;413,534;25,6693969807609;1276,5395316672
"18";"65536";"640";111,898;597,683;38,8745015562527;1685,83512010224
"19";"131072";"320";159,434;826,853;65,2847107072362;2007,69825859812
"20";"262144";"160";236,769;1118,324;118,105129009203;2219,58184372816
"21";"524288";"80";327,044;1605,224;223,745965613137;2343,22884242082
"22";"1048576";"40";532,171;1978,016;435,027638821005;2410,36639152815
"23";"2097152";"20";923,194;2279,413;857,590985236742;2445,39883942585
"24";"4194304";"10";1738,496;2417,546;1702,71767806821;2463,29973196647
