"";"Bytes";"Repetition";"t_usec";"Mbytes.sec";"est_lat";"est_band"
"1";"0";"1000";15,333;0;15,4497924865832;0
"2";"1";"1000";15,395;0,066;15,4501978378038;0,0647240902995548
"3";"2";"1000";15,405;0,13;15,4506031890245;0,129444784487167
"4";"4";"1000";15,388;0,259;15,4514138914657;0,258875985595682
"5";"8";"1000";15,401;0,519;15,4530352963483;0,517697646228148
"6";"16";"1000";15,435;1,035;15,4562781061134;1,03517806098944
"7";"32";"1000";15,464;2,07;15,4627637256436;2,06948774279794
"8";"64";"1000";15,534;4,12;15,475734964704;4,13550633594894
"9";"128";"1000";15,87;8,067;15,5016774428248;8,25717090760694
"10";"256";"1000";15,951;16,051;15,5535623990665;16,4592518055776
"11";"512";"1000";16,214;31,581;15,6573323115498;32,7003342467425
"12";"1024";"1000";16,643;61,542;15,8648721365165;64,5451152198724
"13";"2048";"1000";38,389;53,351;16,2799517864498;125,798898354515
"14";"4096";"1000";38,756;105,688;17,1101110863164;239,390614084074
"15";"8192";"1000";39,64;206,679;18,7704296860496;436,431138605655
"16";"16384";"1000";41,426;395,532;22,091066885516;741,657253807972
"17";"32768";"1000";47,181;695,351;28,7323412844487;1140,45700890152
"18";"65536";"640";147,169;445,316;42,0148900823143;1559,82795317574
"19";"131072";"320";152,752;864,277;68,5799876780454;1911,22810659181
"20";"262144";"160";202,035;1300,725;121,710182869508;2153,83786154573
"21";"524288";"80";300,525;1752,567;227,970573252432;2299,80559560841
"22";"1048576";"40";495,234;2125,575;440,491354018281;2380,46897046811
"23";"2097152";"20";887,128;2374,15;865,532915549978;2422,96042394578
"24";"4194304";"10";1768,012;2397,388;1715,61603861337;2444,78012888595
