"";"Bytes";"Repetition";"t_usec";"Mbytes.sec";"est_lat";"est_band"
"1";"0";"1000";1,373;0;1,46287233696536;0
"2";"1";"1000";1,369;0,73;1,46295570583134;0,683547694584327
"3";"2";"1000";1,369;1,461;1,46303907469732;1,36701748749518
"4";"4";"1000";1,372;2,916;1,46320581242928;2,73372342155956
"5";"8";"1000";1,372;5,833;1,46353928789319;5,4662010553309
"6";"16";"1000";1,374;11,634;1,46420623882103;10,9274223642724
"7";"32";"1000";1,403;22,8;1,46554014067669;21,8349529377097
"8";"64";"1000";1,695;37,768;1,46820794438802;43,5905555780634
"9";"128";"1000";1,736;73,711;1,47354355181067;86,8654339009629
"10";"256";"1000";2,158;122,118;1,48421476665598;172,481776728837
"11";"512";"1000";2,081;246,094;1,5055571963466;340,073430117715
"12";"1024";"1000";2,305;444,184;1,54824205572785;661,395287779213
"13";"2048";"1000";2,989;685,006;1,63361177449034;1253,66383370917
"14";"4096";"1000";3,942;1039,573;1,80435121201531;2270,06802928633
"15";"8192";"1000";5,533;1480,713;2,14583008706526;3817,63684337364
"16";"16384";"1000";7,329;2235,642;2,82878783716515;5791,88010664635
"17";"32768";"1000";10,126;3236,501;4,19470333736495;7811,75624700659
"18";"65536";"640";14,514;4515,879;6,92653433776453;9461,58595398678
"19";"131072";"320";23,53;5570,373;12,3901963385637;10578,686278929
"20";"262144";"160";33,797;7756,547;23,317520340162;11242,3618024462
"21";"524288";"80";56,507;9281,125;45,1721683433587;11606,4386374997
"22";"1048576";"40";98,872;10605,489;88,8814643497521;11797,4653958649
"23";"2097152";"20";185,212;11322,918;176,300056362539;11895,3563786019
"24";"4194304";"10";355,006;11814,761;351,137240388112;11944,9136051876
