"";"Bytes";"Repetition";"t_usec";"Mbytes.sec";"est_lat";"est_band"
"1";"0";"1000";8,579;0;8,61606895430151;0
"2";"1";"1000";8,657;0,115;8,61637708384942;0,116058059004219
"3";"2";"1000";8,649;0,231;8,61668521339732;0,23210781761998
"4";"4";"1000";8,651;0,463;8,61730147249313;0,464182437247694
"5";"8";"1000";8,642;0,927;8,61853399068474;0,928232111011771
"6";"16";"1000";8,648;1,851;8,62099902706797;1,85593339585861
"7";"32";"1000";8,652;3,7;8,62592909983443;3,7097453073912
"8";"64";"1000";8,664;7,391;8,63578924536735;7,41101921105041
"9";"128";"1000";8,973;14,272;8,65550953643319;14,7882686121731
"10";"256";"1000";9,013;28,417;8,69495011856486;29,4423770705028
"11";"512";"1000";9,076;56,437;8,77383128282822;58,3553505299407
"12";"1024";"1000";10,337;99,063;8,93159361135492;114,649193028461
"13";"2048";"1000";9,585;213,731;9,24711826840833;221,474403219947
"14";"4096";"1000";11,613;352,779;9,87816758251514;414,651803159336
"15";"8192";"1000";12,302;666,021;11,1402662107288;735,350470539977
"16";"16384";"1000";16,881;970,638;13,664463467156;1199,02256238459
"17";"32768";"1000";27,08;1210,066;18,7128579800105;1751,09542513514
"18";"65536";"640";61,639;1063,291;28,8096470057194;2274,79357824098
"19";"131072";"320";82,53;1588,239;49,0032250571374;2674,76272933406
"20";"262144";"160";117,138;2238,033;89,3903811599732;2932,57503322272
"21";"524288";"80";187,784;2792,053;170,164693365645;3081,06217353458
"22";"1048576";"40";332,611;3152,613;331,713317776988;3161,09105002821
"23";"2097152";"20";640,707;3273,241;654,810566599675;3202,68503132161
"24";"4194304";"10";1325,163;3165,198;1301,00506424505;3223,89521399279
