"";"Bytes";"Repetition";"t_usec";"Mbytes.sec";"est_lat";"est_band"
"1";"0";"1000";0,433;0;0,526751016425435;0
"2";"1";"1000";0,438;2,289;0,526824810654847;1,89816420900336
"3";"2";"1000";0,431;4,649;0,526898604884258;3,79579672722674
"4";"4";"1000";0,429;9,33;0,527046193343081;7,58946758466805
"5";"8";"1000";0,43;18,615;0,527341370260726;15,1704388298697
"6";"16";"1000";0,43;37,268;0,527931724096017;30,3069493075018
"7";"32";"1000";0,578;55,343;0,529112431766599;60,4786394701756
"8";"64";"1000";0,583;110,061;0,531473847107762;120,419848216959
"9";"128";"1000";1,038;123,231;0,536196677790088;238,718375741429
"10";"256";"1000";1,075;237,957;0,545642339154741;469,171802900361
"11";"512";"1000";1,192;430,197;0,564533661884047;906,943260551154
"12";"1024";"1000";1,447;708,161;0,602316307342658;1700,10339669825
"13";"2048";"1000";2,089;980,59;0,677881598259881;3021,17656720171
"14";"4096";"1000";2,968;1379,177;0,829012180094327;4940,82004866798
"15";"8192";"1000";4,679;1750,179;1,13127334376322;7241,39753240277
"16";"16384";"1000";7,133;2297,369;1,735795671101;9438,89898608155
"17";"32768";"1000";12,888;2542,804;2,94484032577657;11127,2586541204
"18";"65536";"640";23,886;2743,849;5,3629296351277;12220,186438907
"19";"131072";"320";45,83;2859,957;10,19910825383;12851,3196191226
"20";"262144";"160";14,631;17918,302;19,8714654912345;13191,9812414255
"21";"524288";"80";25,868;20268,337;39,2161799660436;13369,1756936542
"22";"1048576";"40";59,036;17766,139;77,9056089156617;13459,5700437328
"23";"2097152";"20";157,544;13312,927;155,284466814898;13505,2271680196
"24";"4194304";"10";323,205;12977,653;310,042182613371;13528,1720849914
