"";"Bytes";"Repetition";"t_usec";"Mbytes.sec";"est_lat";"est_band"
"1";"0";"1000";0,595;0;0,699646771832819;0
"2";"1";"1000";0,632;1,581;0,699757943346827;1,42906559262073
"3";"2";"1000";0,628;3,187;0,699869114860835;2,8576771821081
"4";"4";"1000";0,625;6,387;0,700091457888852;5,71353921680766
"5";"8";"1000";0,628;12,707;0,700536143944885;11,4198247572925
"6";"16";"1000";0,726;22,045;0,701425516056951;22,8106899930639
"7";"32";"1000";0,754;42,394;0,703204260281082;45,5059814159958
"8";"64";"1000";0,833;76,867;0,706761748729346;90,5538537068009
"9";"128";"1000";0,953;134,707;0,713876725625873;179,302665859822
"10";"256";"1000";1,14;224,517;0,728106679418928;351,596829470515
"11";"512";"1000";1,363;375,882;0,756566587005038;676,741490827417
"12";"1024";"1000";1,615;635,724;0,813486402177257;1258,7794918997
"13";"2048";"1000";1,824;1124,053;0,927326032521695;2208,50049300442
"14";"4096";"1000";3,054;1343,215;1,15500529321057;3546,30409408284
"15";"8192";"1000";3,433;2387,648;1,61036381458832;5087,04922812378
"16";"16384";"1000";4,011;4091,997;2,52108085734383;6498,79989063974
"17";"32768";"1000";4,985;6576,153;4,34251494285483;7545,85774170251
"18";"65536";"640";6,995;9374,089;7,98538311387685;8206,99508907879
"19";"131072";"320";10,554;12421,029;15,2711194559209;8582,99880230333
"20";"262144";"160";18,323;14306,404;29,8425921400089;8784,22352757194
"21";"524288";"80";38,061;13776,518;58,9855375081851;8888,41607872519
"22";"1048576";"40";99,872;10499,599;117,271428244537;8941,44478067994
"23";"2097152";"20";230,326;9105,639;233,843209717242;8968,19712035184
"24";"4194304";"10";468,034;8961,825;466,986772662651;8981,6334113385
