"";"Bytes";"Repetition";"t_usec";"Mbytes.sec";"est_lat";"est_band"
"1";"0";"1000";0,29;0;0,289427386566922;0
"2";"1";"1000";0,294;3,396;0,289520987142883;3,45398103905498
"3";"2";"1000";0,3;6,71;0,289614587718844;6,90572949295491
"4";"4";"1000";0,299;13,446;0,289801788870767;13,8025372982902
"5";"8";"1000";0,294;27,15;0,290176191174613;27,5694569138031
"6";"16";"1000";0,295;54,203;0,290924995782305;54,9969931493015
"7";"32";"1000";0,304;105,111;0,292422604997688;109,430664569358
"8";"64";"1000";0,305;209,55;0,295417823428455;216,642311074029
"9";"128";"1000";0,305;418,937;0,301408260289988;424,673165482757
"10";"256";"1000";0,323;796,8;0,313389134013054;816,875801409682
"11";"512";"1000";0,558;921,165;0,337350881459187;1517,70760990865
"12";"1024";"1000";0,618;1655,973;0,385274376351453;2657,84610359318
"13";"2048";"1000";0,75;2730,497;0,481121366135985;4256,72219973941
"14";"4096";"1000";0,957;4280,296;0,672815345705047;6087,8516314276
"15";"8192";"1000";1,489;5501,345;1,05620330484317;7756,08252922136
"16";"16384";"1000";2,377;6893,946;1,82297922311943;8987,48586501398
"17";"32768";"1000";3,583;9145,88;3,35653105967193;9762,45993779148
"18";"65536";"640";5,869;11168,876;6,42363473277694;10202,323563885
"19";"131072";"320";8,838;14833,183;12,557842078987;10437,4620397021
"20";"262144";"160";15,527;16885,846;24,826256771407;10559,1431851264
"21";"524288";"80";41,935;12509,168;49,363086156247;10621,0539256093
"22";"1048576";"40";83,763;12518,704;98,4367449259272;10652,2823442511
"23";"2097152";"20";162,619;12897,685;196,584062465287;10667,9655191799
"24";"4194304";"10";406,043;10331,084;392,878697544008;10675,8244369566
