"";"Bytes";"Repetition";"t_usec";"Mbytes.sec";"est_lat";"est_band"
"1";"0";"1000";0,468;0;0,483511465278907;0
"2";"1";"1000";0,473;2,116;0,483629931751534;2,06769667125101
"3";"2";"1000";0,473;4,225;0,483748398224161;4,13438061467903
"4";"4";"1000";0,474;8,47;0,483985331169414;8,26471329272548
"5";"8";"1000";0,474;16,894;0,484459197059921;16,5132585954613
"6";"16";"1000";0,474;33,874;0,485406928840934;32,9620346339208
"7";"32";"1000";0,504;63,45;0,487302392402961;65,6676439493827
"8";"64";"1000";0,494;129,741;0,491093319527014;130,321463264131
"9";"128";"1000";0,585;218,902;0,498675173775121;256,680113090454
"10";"256";"1000";0,625;409,119;0,513838882271335;498,210643126882
"11";"512";"1000";0,957;535,417;0,544166299263762;940,888843525808
"12";"1024";"1000";0,992;1031,716;0,604821133248618;1693,06253321521
"13";"2048";"1000";1,138;1800,137;0,726130801218328;2820,42849107047
"14";"4096";"1000";1,614;2544,324;0,968750137157748;4228,12843363037
"15";"8192";"1000";2,057;3985,079;1,45398880903659;5634,15615655804
"16";"16384";"1000";3,472;4719,142;2,42446615279427;6757,77633815054
"17";"32768";"1000";5,328;6151,553;4,36542084030964;7506,26370255652
"18";"65536";"640";9,137;7172,986;8,24733021534037;7946,32908939433
"19";"131072";"320";15,06;8703,483;16,0111489654018;8186,29570452632
"20";"262144";"160";27,895;9405,043;31,5387864655248;8311,7972939939
"21";"524288";"80";66,227;7916,792;62,5940614657706;8376,00225520924
"22";"1048576";"40";128,632;8152,467;124,704611466262;8408,47814423994
"23";"2097152";"20";250,799;8362,826;248,925711467246;8424,81071014614
"24";"4194304";"10";496,676;8445,525;497,367911469212;8433,0008094212
