"";"Bytes";"Repetition";"t_usec";"Mbytes.sec";"est_lat";"est_band"
"1";"0";"1000";1,344;0;1,41271442510977;0
"2";"1";"1000";1,342;0,746;1,41279789579376;0,707815323746761
"3";"2";"1000";1,35;1,482;1,41288136647774;1,41554701438658
"4";"4";"1000";1,347;2,973;1,4130483078457;2,83075955562928
"5";"8";"1000";1,343;5,962;1,41338219058163;5,66018169275776
"6";"16";"1000";1,343;11,903;1,41404995605348;11,3150175009763
"7";"32";"1000";1,363;23,47;1,41538548699719;22,6086817294485
"8";"64";"1000";1,558;41,173;1,41805654888461;45,1321916959798
"9";"128";"1000";1,612;79,694;1,42339867265945;89,9256142770226
"10";"256";"1000";2,025;130,749;1,43408292020913;178,511295541172
"11";"512";"1000";1,947;263,744;1,45545141530849;351,780893965106
"12";"1024";"1000";2,131;481,948;1,49818840550721;683,492140398275
"13";"2048";"1000";2,798;734,028;1,58366238590464;1293,20492690121
"14";"4096";"1000";3,582;1147,207;1,75461034669951;2334,42143305763
"15";"8192";"1000";4,551;1805,979;2,09650626828924;3907,45313949609
"16";"16384";"1000";6,315;2602,304;2,7802981114687;5892,89325932934
"17";"32768";"1000";10,445;3138,839;4,14788179782762;7899,93582198066
"18";"65536";"640";13,313;4924,329;6,88304917054547;9521,36159079717
"19";"131072";"320";22,454;5838,603;12,3533839159812;10610,2101975829
"20";"262144";"160";33,405;7847,815;23,2940534068526;11253,6876009258
"21";"524288";"80";56,425;9294,162;45,1753923885954;11605,6103174514
"22";"1048576";"40";98,532;10642,285;88,9380703520809;11789,9567176236
"23";"2097152";"20";184,975;11337,595;176,463426279052;11884,3436525122
"24";"4194304";"10";354,761;11823,19;351,514138132994;11932,106123177
