"";"Bytes";"Repetition";"t_usec";"Mbytes.sec";"est_lat";"est_band"
"1";"0";"1000";0,472;0;0,488498292405269;0
"2";"1";"1000";0,478;2,093;0,488620044212466;2,04657997936157
"3";"2";"1000";0,479;4,182;0,488741796019663;4,09214030043695
"4";"4";"1000";0,477;8,398;0,488985299634058;8,18020501432964
"5";"8";"1000";0,478;16,763;0,489472306862846;16,3441320128488
"6";"16";"1000";0,477;33,635;0,490446321320423;32,6233459289151
"7";"32";"1000";0,509;62,794;0,492394350235577;64,9885604590918
"8";"64";"1000";0,497;128,849;0,496290408065884;128,956753867997
"9";"128";"1000";0,598;213,72;0,504082523726498;253,926676635688
"10";"256";"1000";0,633;403,942;0,519666755047727;492,623392805815
"11";"512";"1000";0,959;534,097;0,550835217690185;929,497576692658
"12";"1024";"1000";0,999;1025,097;0,613172142975101;1670,00411178428
"13";"2048";"1000";1,146;1788,427;0,737845993544933;2775,64697500154
"14";"4096";"1000";1,62;2531,921;0,987193694684597;4149,13509076722
"15";"8192";"1000";2,043;4010,632;1,48588909696393;5513,19746321477
"16";"16384";"1000";3,539;4633,612;2,48327990152258;6597,72585037813
"17";"32768";"1000";5,348;6126,848;4,47806151063989;7317,45196490559
"18";"65536";"640";9,252;7084,114;8,46762472887452;7739,59665176503
"19";"131072";"320";15,199;8624,564;16,4467511653438;7969,47668766291
"20";"262144";"160";28,172;9315,409;32,4050040382823;8089,61479191026
"21";"524288";"80";67,961;7714,685;64,3215097841593;8151,05245133905
"22";"1048576";"40";132,271;7927,744;128,154521275913;8182,12256235926
"23";"2097152";"20";257,786;8135,299;255,820544259421;8197,74661206776
"24";"4194304";"10";510,236;8220,365;511,152590226437;8205,58103430905
