#header_line 1:	mpirun -np 2 -ppn=2 -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1 PingPong					
#header_line 2:	ct1pt-tnode008.hpc,ct1pt-tnode009.hpc					
	Bytes	Repetition	t_usec	Mbytes.sec	est_lat	est_band
1	0	1000	0,278	0	0,299793950235811	0
2	1	1000	0,297	3,649	0,299909705272285	3,33433691014471
3	2	1000	0,303	7,235	0,300025460308759	6,66610093004034
4	4	1000	0,281	15,08	0,300256970381707	13,321922201889
5	8	1000	0,277	30,362	0,300719990527603	26,6028207368731
6	16	1000	0,294	58,536	0,301646030819396	53,042302451444
7	32	1000	0,365	108,344	0,303498111402981	105,437229418244
8	64	1000	0,293	231,851	0,307202272570151	208,331792159465
9	128	1000	0,33	427,61	0,314610594904491	406,852159695569
10	256	1000	0,385	756,942	0,329427239573172	777,106350803568
11	512	1000	0,509	1071,77	0,359060528910532	1425,94342395005
12	1024	1000	0,536	2063,227	0,418327107585254	2447,84519442435
13	2048	1000	0,699	3080,841	0,536860264934697	3814,77291907442
14	4096	1000	0,986	4352,827	0,773926579633583	5292,49170113689
15	8192	1000	1,533	5441,71	1,24805920903136	6563,79115727849
16	16384	1000	2,54	6563,607	2,1963244678269	7459,73568113584
17	32768	1000	3,918	8563,388	4,09285498541799	8006,14732668168
18	65536	640	6,385	10642,134	7,88591602060017	8310,51203548225
19	131072	320	10,506	13562,036	15,4720380909645	8471,54067417559
20	262144	160	18,898	15499,375	30,6442822316932	8554,41801566763
21	524288	80	49,086	11530,774	60,9887705131507	8596,46776920926
22	1048576	40	98,397	11555,146	121,677747076066	8617,64805149206
23	2097152	20	220,031	11162,383	243,055700201895	8628,27737945661
24	4194304	10	494,375	9133,651	485,811606453555	8633,60188246345
