#header_line 1:	mpirun -np 2 -ppn=2 -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1 PingPong					
#header_line 2:	ct1pt-tnode008.hpc,ct1pt-tnode009.hpc					
	Bytes	Repetition	t_usec	Mbytes.sec	est_lat	est_band
1	0	1000	0,832	0	0,914347536184746	0
2	1	1000	0,828	1,468	0,914489401600138	1,09350638536678
3	2	1000	0,834	2,922	0,914631267015529	2,18667355045281
4	4	1000	0,834	5,837	0,914914997846313	4,37199085097075
5	8	1000	0,829	11,698	0,91548245950788	8,73856174622988
6	16	1000	0,832	23,398	0,916617382831014	17,4554839344016
7	32	1000	1,509	37,631	0,918887229477282	34,824730362401
8	64	1000	0,949	83,733	0,923426922769818	69,3070544315863
9	128	1000	1,021	145,859	0,93250630935489	137,264486809264
10	256	1000	1,384	248,992	0,950665082525035	269,285161205296
11	512	1000	1,317	430,06	0,986982628865324	518,752797694744
12	1024	1000	2,088	694,856	1,0596177215459	966,386253436817
13	2048	1000	1,908	1256,865	1,20488790690706	1699,74317798343
14	4096	1000	2,51	1863,853	1,49542827762937	2739,01467644653
15	8192	1000	3,281	2840,256	2,07650901907399	3945,08279268307
16	16384	1000	4,84	3657,089	3,23867050196324	5058,86597295657
17	32768	1000	8,439	4236,067	5,56299346774173	5890,35385175492
18	65536	640	12,306	5557,933	10,2116393992987	6417,77460380168
19	131072	320	22,202	6160,447	19,5089312624127	6718,56383299339
20	262144	160	37,473	7452,186	38,1035149886406	6879,78523971213
21	524288	80	75,544	7806,834	75,2926824410965	6963,33273037741
22	1048576	40	152,709	8457,46	149,671017346008	7005,87206924578
23	2097152	20	321,427	8802,859	298,427687155832	7027,33724201976
24	4194304	10	588,628	9041,121	595,941026775479	7038,11922917031
