#header_line 1:	mpirun -np 2 --map-by node --mca pml ob1 --mca btl tcp,self --mca btl_tcp_if_include br0 ./IMB-MPI1 PingPong					
#header_line 2:	ct1pt-tnode008.hpc,ct1pt-tnode009.hpc					
	Bytes	Repetition	t_usec	Mbytes.sec	est_lat	est_band
1	0	1000	15,435	0	15,5526100178891	0
2	1	1000	15,501	0,063	15,553001335233	0,0642962717256795
3	2	1000	15,503	0,13	15,553392652577	0,128589308112698
4	4	1000	15,504	0,257	15,5541752872649	0,257165675847502
5	8	1000	15,525	0,516	15,5557405566408	0,514279597996045
6	16	1000	15,549	1,029	15,5588710953925	1,02835224367519
7	32	1000	15,586	2,054	15,565132172896	2,05587717756246
8	64	1000	15,629	4,096	15,5776543279028	4,10844910618941
9	128	1000	15,929	8,039	15,6026986379166	8,20370904869901
10	256	1000	16,091	15,912	15,6527872579441	16,3549146731088
11	512	1000	16,493	31,05	15,7529644979991	32,501818947477
12	1024	1000	16,917	60,533	15,9533189781092	64,1872704610942
13	2048	1000	38,592	53,067	16,3540279383292	125,229087764982
14	4096	1000	38,908	105,277	17,1554458587694	238,758003360562
15	8192	1000	39,746	206,119	18,7582816996497	436,713774276724
16	16384	1000	41,556	394,302	21,9639533814102	745,949498047425
17	32768	1000	47,08	696,275	28,3752967449314	1154,80730631842
18	65536	640	147,269	445,019	41,1979834719737	1590,75747104426
19	131072	320	151,034	872,221	66,8433569260583	1960,88296620098
20	262144	160	201,399	1305,554	118,134103834228	2219,0374455107
21	524288	80	295,145	1782,356	220,715597650566	2375,40076723552
22	1048576	40	486,869	2158,34	425,878585283243	2462,14774875946
23	2097152	20	867,641	2421,275	836,204560548597	2507,94135662708
24	4194304	10	1705,49	2474,614	1656,8565110793	2531,48294493393
