#header_line 1:	mpirun -np 2  --map-by node  ./IMB-MPI1 PingPong					
#header_line 2:	ct1pt-tnode008.hpc,ct1pt-tnode009.hpc					
	Bytes	Repetition	t_usec	Mbytes.sec	est_lat	est_band
1	0	1000	0,981	0	1,04639404781265	0
2	1	1000	0,985	1,015	1,0464772116097	0,955586981642718
3	2	1000	0,993	2,012	1,04656037540675	1,91102209389755
4	4	1000	0,995	4,022	1,04672670300084	3,82143685503817
5	8	1000	0,989	8,103	1,04705935818902	7,6404455367618
6	16	1000	0,992	16,144	1,0477246685654	15,2711876316782
7	32	1000	1,01	31,742	1,04905528931814	30,5036353429944
8	64	1000	1,165	54,922	1,05171653082362	60,8528991646449
9	128	1000	1,213	105,598	1,05703901383459	121,092976063067
10	256	1000	1,563	170,598	1,06768397985653	239,771322629005
11	512	1000	1,502	341,14	1,08897391190041	470,167369855987
12	1024	1000	1,656	617,846	1,13155377598816	904,950362704382
13	2048	1000	2,328	879,641	1,21671350416367	1683,22287292087
14	4096	1000	3,203	1278,44	1,38703296051469	2953,06608898471
15	8192	1000	4,488	1825,456	1,72767187321673	4741,64112236627
16	16384	1000	6,284	2607,26	2,4089496986208	6801,30432336562
17	32768	1000	8,481	3863,298	3,77150534942896	8688,30797362157
18	65536	640	12,388	5290,366	6,49661665104526	10087,7123463112
19	131072	320	18,63	7034,912	11,9468392542779	10971,2700748917
20	262144	160	32,574	8047,332	22,8472844607431	11473,7486833686
21	524288	80	55,518	9449,194	44,6481748736735	11742,6524484687
22	1048576	40	97,842	10717,465	88,2499556995344	11881,886984398
23	2097152	20	182,164	11512,349	175,453517351256	11952,749831749
24	4194304	10	352,91	11884,931	349,8606406547	11988,4991697012
