#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.47,0.00
1,1000,0.48,2.10
2,1000,0.48,4.20
4,1000,0.48,8.40
8,1000,0.48,16.62
16,1000,0.48,33.68
32,1000,0.51,62.96
64,1000,0.50,128.85
128,1000,0.58,219.18
256,1000,0.62,410.07
512,1000,0.98,522.78
1024,1000,1.02,1001.61
2048,1000,1.17,1743.16
4096,1000,1.61,2547.84
8192,1000,2.09,3927.87
16384,1000,3.52,4652.25
32768,1000,5.37,6100.81
65536,640,9.12,7184.28
131072,320,15.09,8688.57
262144,160,27.70,9463.07
524288,80,66.37,7899.11
1048576,40,129.50,8097.12
2097152,20,255.35,8212.92
4194304,10,503.16,8335.95
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.47,0.00
1,1000,0.47,2.13
2,1000,0.47,4.21
4,1000,0.47,8.54
8,1000,0.47,16.97
16,1000,0.47,34.22
32,1000,0.51,63.10
64,1000,0.50,129.15
128,1000,0.59,217.80
256,1000,0.62,412.60
512,1000,0.93,548.97
1024,1000,0.98,1044.16
2048,1000,1.11,1839.17
4096,1000,1.59,2576.93
8192,1000,1.98,4128.33
16384,1000,3.41,4802.61
32768,1000,5.26,6234.49
65536,640,8.99,7290.27
131072,320,14.91,8788.25
262144,160,27.32,9595.17
524288,80,66.03,7939.68
1048576,40,130.59,8029.30
2097152,20,249.39,8409.11
4194304,10,494.85,8475.88
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.47,0.00
1,1000,0.48,2.09
2,1000,0.48,4.19
4,1000,0.48,8.40
8,1000,0.48,16.72
16,1000,0.48,33.58
32,1000,0.51,63.14
64,1000,0.49,129.86
128,1000,0.58,219.51
256,1000,0.63,408.81
512,1000,0.98,523.39
1024,1000,0.99,1034.89
2048,1000,1.16,1772.37
4096,1000,1.70,2405.73
8192,1000,2.12,3868.12
16384,1000,3.63,4514.34
32768,1000,5.35,6128.97
65536,640,9.21,7116.30
131072,320,15.32,8556.45
262144,160,27.86,9408.97
524288,80,67.11,7812.48
1048576,40,131.04,8001.78
2097152,20,255.77,8199.41
4194304,10,506.40,8282.54
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.46,0.00
1,1000,0.47,2.14
2,1000,0.47,4.27
4,1000,0.47,8.55
8,1000,0.47,17.15
16,1000,0.47,34.19
32,1000,0.50,63.83
64,1000,0.49,130.14
128,1000,0.59,218.64
256,1000,0.62,410.64
512,1000,0.91,560.86
1024,1000,0.98,1045.51
2048,1000,1.10,1864.63
4096,1000,1.49,2753.06
8192,1000,2.06,3986.11
16384,1000,3.39,4831.04
32768,1000,5.30,6184.44
65536,640,9.12,7182.99
131072,320,15.13,8662.29
262144,160,27.88,9403.04
524288,80,66.13,7928.72
1048576,40,128.56,8156.17
2097152,20,251.27,8346.05
4194304,10,496.02,8455.90
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.47,0.00
1,1000,0.47,2.13
2,1000,0.47,4.26
4,1000,0.47,8.53
8,1000,0.47,17.04
16,1000,0.47,34.02
32,1000,0.50,63.73
64,1000,0.49,130.43
128,1000,0.58,220.99
256,1000,0.62,411.59
512,1000,0.97,529.87
1024,1000,0.98,1040.45
2048,1000,1.13,1812.71
4096,1000,1.56,2631.24
8192,1000,2.06,3970.12
16384,1000,3.41,4799.94
32768,1000,5.41,6058.94
65536,640,9.17,7148.24
131072,320,15.05,8708.46
262144,160,27.41,9562.52
524288,80,66.22,7917.38
1048576,40,127.87,8200.27
2097152,20,249.85,8393.78
4194304,10,495.26,8468.95
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.47,0.00
1,1000,0.48,2.08
2,1000,0.48,4.17
4,1000,0.48,8.34
8,1000,0.48,16.69
16,1000,0.48,33.25
32,1000,0.51,63.31
64,1000,0.50,129.06
128,1000,0.58,219.03
256,1000,0.62,409.97
512,1000,0.97,527.51
1024,1000,1.00,1022.66
2048,1000,1.15,1780.78
4096,1000,1.66,2474.16
8192,1000,2.02,4054.25
16384,1000,3.54,4633.57
32768,1000,5.25,6240.20
65536,640,9.22,7110.01
131072,320,14.90,8794.84
262144,160,30.35,8638.11
524288,80,65.64,7987.75
1048576,40,127.52,8222.59
2097152,20,248.74,8431.27
4194304,10,490.41,8552.71
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.47,0.00
1,1000,0.47,2.12
2,1000,0.47,4.23
4,1000,0.47,8.48
8,1000,0.47,16.91
16,1000,0.47,33.99
32,1000,0.50,63.66
64,1000,0.50,129.16
128,1000,0.58,220.54
256,1000,0.63,408.19
512,1000,0.92,558.00
1024,1000,0.98,1045.17
2048,1000,1.12,1831.67
4096,1000,1.53,2681.15
8192,1000,2.04,4006.73
16384,1000,3.39,4826.90
32768,1000,5.37,6107.68
65536,640,9.13,7177.52
131072,320,14.98,8752.71
262144,160,27.44,9553.48
524288,80,66.37,7899.64
1048576,40,127.34,8234.17
2097152,20,251.48,8339.19
4194304,10,495.84,8458.94
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.47,0.00
1,1000,0.47,2.13
2,1000,0.47,4.24
4,1000,0.47,8.52
8,1000,0.47,17.01
16,1000,0.47,33.99
32,1000,0.50,63.46
64,1000,0.49,130.41
128,1000,0.59,216.63
256,1000,0.63,407.95
512,1000,0.98,520.77
1024,1000,1.01,1017.41
2048,1000,1.17,1746.32
4096,1000,1.64,2501.57
8192,1000,2.07,3961.48
16384,1000,3.47,4715.80
32768,1000,5.37,6102.19
65536,640,9.14,7171.89
131072,320,15.14,8654.49
262144,160,27.61,9492.89
524288,80,65.90,7956.04
1048576,40,127.26,8239.87
2097152,20,247.95,8457.93
4194304,10,489.96,8560.43
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.46,0.00
1,1000,0.47,2.12
2,1000,0.47,4.25
4,1000,0.47,8.53
8,1000,0.47,16.99
16,1000,0.47,34.16
32,1000,0.50,63.81
64,1000,0.49,130.42
128,1000,0.58,222.02
256,1000,0.63,407.87
512,1000,0.96,535.10
1024,1000,0.99,1034.27
2048,1000,1.13,1813.14
4096,1000,1.68,2432.47
8192,1000,2.01,4079.34
16384,1000,3.52,4649.87
32768,1000,5.28,6202.19
65536,640,9.14,7170.51
131072,320,14.98,8749.18
262144,160,27.66,9475.93
524288,80,66.03,7939.61
1048576,40,128.42,8165.42
2097152,20,249.99,8389.08
4194304,10,497.81,8425.58
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.47,0.00
1,1000,0.47,2.12
2,1000,0.47,4.23
4,1000,0.48,8.41
8,1000,0.48,16.84
16,1000,0.48,33.66
32,1000,0.50,63.50
64,1000,0.49,129.93
128,1000,0.60,214.68
256,1000,0.63,403.50
512,1000,0.97,526.92
1024,1000,0.99,1031.03
2048,1000,1.14,1797.42
4096,1000,1.68,2439.09
8192,1000,2.12,3868.44
16384,1000,3.44,4765.10
32768,1000,5.32,6155.62
65536,640,9.13,7177.85
131072,320,15.10,8679.59
262144,160,27.72,9457.25
524288,80,66.47,7887.51
1048576,40,128.22,8177.98
2097152,20,248.20,8449.52
4194304,10,497.05,8438.37
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.32,0.00
1,1000,0.33,3.07
2,1000,0.33,6.09
4,1000,0.33,12.20
8,1000,0.33,24.51
16,1000,0.33,48.94
32,1000,0.34,95.31
64,1000,0.34,188.45
128,1000,0.34,382.08
256,1000,0.35,738.69
512,1000,0.58,881.26
1024,1000,0.67,1527.87
2048,1000,0.78,2619.62
4096,1000,1.01,4060.37
8192,1000,1.49,5485.64
16384,1000,2.32,7058.69
32768,1000,3.50,9355.20
65536,640,5.90,11115.67
131072,320,8.77,14949.65
262144,160,15.47,16940.71
524288,80,42.71,12275.31
1048576,40,84.51,12407.66
2097152,20,160.79,13043.10
4194304,10,409.54,10241.58
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.29,0.00
1,1000,0.29,3.43
2,1000,0.30,6.75
4,1000,0.30,13.55
8,1000,0.29,27.49
16,1000,0.29,54.64
32,1000,0.30,106.44
64,1000,0.30,212.69
128,1000,0.30,424.52
256,1000,0.32,799.87
512,1000,0.56,922.33
1024,1000,0.61,1666.38
2048,1000,0.75,2738.81
4096,1000,0.96,4250.62
8192,1000,1.47,5563.75
16384,1000,2.37,6918.61
32768,1000,3.53,9278.42
65536,640,5.82,11267.69
131072,320,8.83,14841.58
262144,160,15.50,16913.45
524288,80,41.60,12602.25
1048576,40,83.50,12557.44
2097152,20,160.90,13033.57
4194304,10,411.72,10187.37
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.29,0.00
1,1000,0.29,3.40
2,1000,0.30,6.75
4,1000,0.30,13.50
8,1000,0.29,27.32
16,1000,0.29,54.32
32,1000,0.30,105.19
64,1000,0.30,210.01
128,1000,0.31,417.00
256,1000,0.32,793.98
512,1000,0.55,931.03
1024,1000,0.61,1679.46
2048,1000,0.76,2708.88
4096,1000,0.93,4393.13
8192,1000,1.48,5534.19
16384,1000,2.39,6865.44
32768,1000,3.59,9135.26
65536,640,5.90,11107.19
131072,320,8.84,14826.92
262144,160,16.05,16336.40
524288,80,39.96,13120.43
1048576,40,84.07,12473.00
2097152,20,161.57,12979.47
4194304,10,400.13,10482.23
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.29,0.00
1,1000,0.29,3.43
2,1000,0.30,6.77
4,1000,0.30,13.54
8,1000,0.29,27.31
16,1000,0.29,54.69
32,1000,0.30,105.45
64,1000,0.30,210.56
128,1000,0.30,423.02
256,1000,0.32,808.58
512,1000,0.57,897.95
1024,1000,0.63,1624.80
2048,1000,0.74,2760.22
4096,1000,0.99,4137.97
8192,1000,1.52,5404.48
16384,1000,2.39,6862.84
32768,1000,3.65,8983.04
65536,640,5.89,11122.42
131072,320,8.80,14891.65
262144,160,15.39,17029.75
524288,80,42.48,12342.90
1048576,40,83.71,12526.12
2097152,20,160.96,13029.18
4194304,10,401.44,10448.22
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.28,0.00
1,1000,0.29,3.45
2,1000,0.29,6.82
4,1000,0.29,13.65
8,1000,0.29,27.56
16,1000,0.29,55.18
32,1000,0.30,106.80
64,1000,0.30,212.80
128,1000,0.30,424.63
256,1000,0.32,807.07
512,1000,0.57,901.37
1024,1000,0.61,1671.40
2048,1000,0.76,2677.87
4096,1000,0.95,4311.39
8192,1000,1.49,5502.54
16384,1000,2.35,6957.89
32768,1000,3.58,9146.57
65536,640,5.86,11175.67
131072,320,8.78,14932.34
262144,160,15.35,17076.99
524288,80,42.67,12287.46
1048576,40,83.73,12523.52
2097152,20,161.90,12953.01
4194304,10,401.83,10437.98
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.29,0.00
1,1000,0.29,3.47
2,1000,0.30,6.77
4,1000,0.29,13.72
8,1000,0.29,27.74
16,1000,0.29,55.58
32,1000,0.30,107.21
64,1000,0.30,214.33
128,1000,0.30,426.21
256,1000,0.32,804.89
512,1000,0.55,925.20
1024,1000,0.61,1682.04
2048,1000,0.74,2776.73
4096,1000,0.95,4332.23
8192,1000,1.45,5636.64
16384,1000,2.42,6765.63
32768,1000,3.57,9181.30
65536,640,5.91,11096.32
131072,320,8.85,14817.22
262144,160,15.46,16960.31
524288,80,43.52,12047.48
1048576,40,84.34,12432.48
2097152,20,165.18,12696.11
4194304,10,415.61,10091.90
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.29,0.00
1,1000,0.29,3.40
