#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.38,0.00
1,1000,1.37,0.73
2,1000,1.37,1.46
4,1000,1.38,2.91
8,1000,1.38,5.82
16,1000,1.38,11.60
32,1000,1.40,22.78
64,1000,1.69,37.89
128,1000,1.74,73.73
256,1000,2.00,128.01
512,1000,2.09,245.51
1024,1000,2.32,441.37
2048,1000,3.00,681.68
4096,1000,3.92,1045.03
8192,1000,5.53,1482.31
16384,1000,7.32,2237.41
32768,1000,10.16,3225.87
65536,640,14.50,4518.63
131072,320,23.55,5566.01
262144,160,33.97,7717.31
524288,80,57.15,9174.32
1048576,40,98.83,10610.36
2097152,20,184.81,11347.36
4194304,10,354.55,11830.07
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.37,0.73
2,1000,1.37,1.46
4,1000,1.37,2.91
8,1000,1.37,5.83
16,1000,1.38,11.60
32,1000,1.41,22.75
64,1000,1.69,37.80
128,1000,1.74,73.50
256,1000,2.00,127.72
512,1000,2.07,247.48
1024,1000,2.31,443.23
2048,1000,3.02,679.10
4096,1000,4.01,1021.58
8192,1000,5.56,1474.10
16384,1000,7.36,2226.09
32768,1000,10.10,3244.21
65536,640,14.55,4505.32
131072,320,23.56,5563.29
262144,160,33.53,7817.50
524288,80,58.13,9019.07
1048576,40,98.90,10602.46
2097152,20,184.61,11359.65
4194304,10,356.39,11768.72
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.36,0.73
2,1000,1.36,1.47
4,1000,1.37,2.93
8,1000,1.37,5.85
16,1000,1.37,11.68
32,1000,1.40,22.86
64,1000,1.69,37.84
128,1000,1.74,73.52
256,1000,2.01,127.52
512,1000,2.08,246.67
1024,1000,2.30,444.80
2048,1000,2.99,684.29
4096,1000,3.93,1041.90
8192,1000,5.55,1475.42
16384,1000,7.33,2233.95
32768,1000,10.09,3248.97
65536,640,14.53,4511.19
131072,320,23.51,5574.32
262144,160,33.83,7749.91
524288,80,58.13,9019.52
1048576,40,99.01,10590.14
2097152,20,184.62,11359.08
4194304,10,355.08,11812.42
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.37,0.73
2,1000,1.37,1.46
4,1000,1.37,2.92
8,1000,1.37,5.84
16,1000,1.37,11.64
32,1000,1.41,22.74
64,1000,1.69,37.98
128,1000,1.72,74.24
256,1000,3.53,72.52
512,1000,2.07,246.77
1024,1000,2.31,442.47
2048,1000,2.98,686.59
4096,1000,3.92,1046.12
8192,1000,5.50,1489.65
16384,1000,7.28,2250.71
32768,1000,10.16,3225.69
65536,640,14.45,4536.11
131072,320,23.51,5574.41
262144,160,33.88,7736.50
524288,80,56.75,9238.13
1048576,40,98.93,10599.36
2097152,20,184.79,11348.65
4194304,10,354.63,11827.23
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.38,0.00
1,1000,1.37,0.73
2,1000,1.37,1.46
4,1000,1.38,2.90
8,1000,1.38,5.81
16,1000,1.38,11.58
32,1000,1.40,22.86
64,1000,1.70,37.67
128,1000,1.73,73.95
256,1000,2.02,126.81
512,1000,2.09,245.06
1024,1000,2.29,447.98
2048,1000,2.98,688.05
4096,1000,3.92,1045.04
8192,1000,5.51,1485.91
16384,1000,7.28,2249.48
32768,1000,10.14,3232.06
65536,640,14.48,4526.87
131072,320,23.50,5577.65
262144,160,33.84,7745.73
524288,80,55.60,9430.27
1048576,40,98.80,10612.58
2097152,20,184.60,11360.26
4194304,10,354.69,11825.25
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.38,0.00
1,1000,1.37,0.73
2,1000,1.37,1.46
4,1000,1.37,2.91
8,1000,1.37,5.84
16,1000,1.37,11.67
32,1000,1.40,22.78
64,1000,1.69,37.83
128,1000,1.73,73.95
256,1000,2.00,127.78
512,1000,2.07,246.96
1024,1000,2.32,441.72
2048,1000,2.98,687.19
4096,1000,3.97,1032.59
8192,1000,5.56,1473.78
16384,1000,7.36,2227.29
32768,1000,10.09,3247.27
65536,640,14.56,4502.27
131072,320,23.58,5558.68
262144,160,33.82,7751.19
524288,80,56.13,9339.99
1048576,40,98.81,10611.78
2097152,20,185.95,11278.28
4194304,10,354.54,11830.13
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.37,0.73
2,1000,1.37,1.46
4,1000,1.37,2.92
8,1000,1.37,5.83
16,1000,1.37,11.64
32,1000,1.40,22.80
64,1000,1.69,37.95
128,1000,1.74,73.71
256,1000,1.99,128.57
512,1000,2.08,246.11
1024,1000,2.30,445.93
2048,1000,2.96,691.74
4096,1000,3.95,1036.85
8192,1000,5.54,1478.31
16384,1000,7.36,2227.07
32768,1000,10.08,3252.22
65536,640,14.51,4517.36
131072,320,23.50,5576.93
262144,160,33.85,7744.18
524288,80,55.66,9420.10
1048576,40,98.86,10606.96
2097152,20,186.01,11274.16
4194304,10,354.66,11826.20
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.37,0.73
2,1000,1.37,1.46
4,1000,1.37,2.92
8,1000,1.37,5.84
16,1000,1.37,11.66
32,1000,1.41,22.74
64,1000,1.70,37.64
128,1000,1.73,73.81
256,1000,2.01,127.41
512,1000,2.09,245.23
1024,1000,2.30,445.15
2048,1000,2.99,685.71
4096,1000,3.92,1045.98
8192,1000,5.52,1484.70
16384,1000,7.32,2239.52
32768,1000,10.18,3218.61
65536,640,14.48,4526.51
131072,320,23.51,5575.48
262144,160,33.88,7737.25
524288,80,55.45,9455.92
1048576,40,98.93,10599.61
2097152,20,185.99,11275.34
4194304,10,355.30,11805.08
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.37,0.73
2,1000,1.37,1.46
4,1000,1.37,2.92
8,1000,1.37,5.84
16,1000,1.37,11.65
32,1000,1.40,22.85
64,1000,1.71,37.53
128,1000,1.75,73.21
256,1000,2.02,126.97
512,1000,2.09,245.18
1024,1000,2.30,444.89
2048,1000,2.99,683.97
4096,1000,3.92,1045.96
8192,1000,5.51,1486.47
16384,1000,7.30,2244.22
32768,1000,10.18,3219.52
65536,640,14.50,4518.65
131072,320,23.51,5575.03
262144,160,33.55,7813.99
524288,80,56.13,9340.79
1048576,40,98.84,10609.09
2097152,20,185.91,11280.29
4194304,10,355.12,11810.81
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.37,0.73
2,1000,1.37,1.46
4,1000,1.37,2.92
8,1000,1.37,5.83
16,1000,1.38,11.62
32,1000,1.40,22.84
64,1000,1.70,37.55
128,1000,1.74,73.49
256,1000,2.00,127.87
512,1000,2.08,245.97
1024,1000,2.30,444.30
2048,1000,3.00,681.74
4096,1000,3.96,1034.68
8192,1000,5.55,1476.48
16384,1000,7.38,2220.68
32768,1000,10.08,3250.59
65536,640,14.58,4495.88
131072,320,23.57,5561.93
262144,160,33.82,7751.91
524288,80,55.94,9373.14
1048576,40,98.81,10612.55
2097152,20,184.83,11346.11
4194304,10,355.10,11811.70
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,12.50,0.00
1,1000,12.49,0.08
2,1000,12.49,0.16
4,1000,12.49,0.32
8,1000,12.45,0.64
16,1000,12.39,1.29
32,1000,12.45,2.57
64,1000,12.65,5.06
128,1000,12.97,9.87
256,1000,13.18,19.43
512,1000,13.27,38.59
1024,1000,12.73,80.47
2048,1000,21.82,93.88
4096,1000,23.45,174.64
8192,1000,36.11,226.85
16384,1000,43.44,377.18
32768,1000,94.15,348.02
65536,640,95.86,683.65
131072,320,147.57,888.20
262144,160,229.35,1142.96
524288,80,339.19,1545.72
1048576,40,528.00,1985.93
2097152,20,928.28,2259.19
4194304,10,1794.50,2337.31
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,12.40,0.00
1,1000,12.19,0.08
2,1000,12.18,0.16
4,1000,12.21,0.33
8,1000,12.21,0.66
16,1000,12.35,1.30
32,1000,12.25,2.61
64,1000,12.29,5.21
128,1000,12.41,10.31
256,1000,12.49,20.50
512,1000,12.65,40.49
1024,1000,12.94,79.16
2048,1000,22.48,91.12
4096,1000,26.55,154.27
8192,1000,38.77,211.30
16384,1000,39.40,415.87
32768,1000,72.70,450.75
65536,640,123.20,531.96
131072,320,139.93,936.67
262144,160,229.39,1142.76
524288,80,319.03,1643.36
1048576,40,590.87,1774.62
2097152,20,976.78,2147.01
4194304,10,1781.63,2354.20
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,12.73,0.00
1,1000,12.72,0.08
2,1000,12.69,0.16
4,1000,12.73,0.31
8,1000,12.59,0.64
16,1000,12.58,1.27
32,1000,12.70,2.52
64,1000,12.62,5.07
128,1000,12.84,9.97
256,1000,13.13,19.49
512,1000,13.24,38.67
1024,1000,13.43,76.25
2048,1000,22.73,90.10
4096,1000,30.47,134.42
8192,1000,35.80,228.80
16384,1000,40.67,402.83
32768,1000,84.94,385.77
65536,640,109.04,601.01
131072,320,171.26,765.35
262144,160,239.97,1092.40
524288,80,325.03,1613.07
1048576,40,540.98,1938.29
2097152,20,1010.52,2075.32
4194304,10,1813.89,2312.33
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,13.02,0.00
1,1000,13.00,0.08
2,1000,13.05,0.15
4,1000,13.02,0.31
8,1000,12.77,0.63
16,1000,12.82,1.25
32,1000,12.76,2.51
64,1000,12.84,4.98
128,1000,12.61,10.15
256,1000,12.63,20.26
512,1000,13.03,39.29
1024,1000,13.64,75.06
2048,1000,22.11,92.61
4096,1000,27.27,150.19
8192,1000,40.84,200.57
16384,1000,41.48,394.97
32768,1000,78.18,419.12
65536,640,107.62,608.97
131072,320,168.67,777.10
262144,160,234.90,1116.00
524288,80,339.88,1542.59
1048576,40,537.90,1949.39
2097152,20,920.53,2278.20
4194304,10,1739.08,2411.80
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,10.92,0.00
1,1000,10.90,0.09
2,1000,10.94,0.18
4,1000,11.12,0.36
8,1000,11.10,0.72
16,1000,10.95,1.46
32,1000,10.95,2.92
64,1000,11.04,5.80
128,1000,11.10,11.53
256,1000,11.39,22.48
512,1000,11.67,43.86
1024,1000,11.89,86.14
2048,1000,21.32,96.08
4096,1000,21.79,188.02
8192,1000,33.86,241.92
16384,1000,39.74,412.27
32768,1000,78.62,416.79
65536,640,86.79,755.11
131072,320,145.88,898.49
262144,160,193.09,1357.60
524288,80,303.23,1729.04
1048576,40,474.85,2208.23
2097152,20,799.27,2623.82
4194304,10,1535.78,2731.05
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,13.04,0.00
1,1000,12.84,0.08
2,1000,12.84,0.16
4,1000,12.92,0.31
8,1000,12.68,0.63
16,1000,12.71,1.26
32,1000,12.83,2.49
64,1000,13.03,4.91
128,1000,12.89,9.93
256,1000,13.15,19.47
512,1000,13.33,38.41
1024,1000,13.54,75.61
2048,1000,21.18,96.72
4096,1000,23.39,175.11
8192,1000,39.83,205.65
16384,1000,41.01,399.53
32768,1000,89.78,364.98
65536,640,91.21,718.54
131072,320,151.07,867.64
262144,160,244.94,1070.24
524288,80,341.29,1536.19
1048576,40,585.68,1790.36
2097152,20,945.77,2217.41
4194304,10,1777.07,2360.24
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,12.57,0.00
1,1000,12.38,0.08
2,1000,12.41,0.16
4,1000,12.45,0.32
8,1000,12.41,0.64
16,1000,12.46,1.28
32,1000,12.48,2.56
64,1000,12.59,5.08
128,1000,12.90,9.92
256,1000,12.87,19.90
512,1000,12.67,40.42
1024,1000,12.94,79.14
2048,1000,24.55,83.41
4096,1000,25.09,163.23
8192,1000,39.98,204.90
16384,1000,41.65,393.39
32768,1000,70.29,466.17
65536,640,130.42,502.50
131072,320,178.04,736.18
262144,160,275.08,952.97
524288,80,330.09,1588.34
1048576,40,509.56,2057.79
2097152,20,896.43,2339.45
4194304,10,1703.79,2461.75
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,12.39,0.00
1,1000,12.25,0.08
2,1000,12.26,0.16
4,1000,12.25,0.33
8,1000,12.31,0.65
16,1000,12.28,1.30
32,1000,12.34,2.59
64,1000,12.29,5.21
128,1000,12.56,10.19
256,1000,12.53,20.43
512,1000,12.78,40.05
1024,1000,13.11,78.08
2048,1000,22.59,90.64
4096,1000,26.18,156.46
8192,1000,31.87,257.08
16384,1000,38.86,421.61
32768,1000,74.84,437.83
65536,640,119.68,547.61
131072,320,165.78,790.62
262144,160,220.26,1190.17
524288,80,320.99,1633.34
1048576,40,510.76,2052.96
2097152,20,907.67,2310.48
4194304,10,1752.15,2393.80
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,12.83,0.00
1,1000,12.78,0.08
2,1000,12.80,0.16
4,1000,12.84,0.31
8,1000,12.94,0.62
16,1000,12.50,1.28
32,1000,12.53,2.55
64,1000,12.73,5.03
128,1000,12.94,9.89
256,1000,13.30,19.25
512,1000,13.01,39.36
1024,1000,12.78,80.14
2048,1000,24.36,84.09
4096,1000,23.79,172.20
8192,1000,40.11,204.23
16384,1000,45.35,361.25
32768,1000,59.81,547.84
65536,640,126.41,518.45
131072,320,166.58,786.83
262144,160,276.98,946.43
524288,80,316.51,1656.48
1048576,40,511.09,2051.66
2097152,20,911.52,2300.72
4194304,10,1710.53,2452.04
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,12.76,0.00
1,1000,12.69,0.08
2,1000,12.72,0.16
4,1000,12.61,0.32
8,1000,12.58,0.64
16,1000,13.06,1.22
32,1000,12.90,2.48
64,1000,12.77,5.01
128,1000,12.98,9.86
256,1000,13.17,19.44
512,1000,13.23,38.69
1024,1000,13.26,77.21
2048,1000,22.45,91.22
4096,1000,24.55,166.86
8192,1000,36.27,225.86
16384,1000,39.15,418.48
32768,1000,109.93,298.07
65536,640,128.75,509.03
131072,320,159.56,821.45
262144,160,223.73,1171.71
524288,80,335.20,1564.11
1048576,40,532.02,1970.93
2097152,20,935.17,2242.53
4194304,10,1776.54,2360.94
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.35,0.00
1,1000,15.34,0.07
2,1000,15.37,0.13
4,1000,15.39,0.26
8,1000,15.37,0.52
16,1000,15.41,1.04
32,1000,15.69,2.04
64,1000,15.48,4.13
128,1000,16.03,7.98
256,1000,16.16,15.84
512,1000,16.34,31.33
1024,1000,16.86,60.75
2048,1000,40.03,51.16
4096,1000,40.59,100.92
8192,1000,65.57,124.93
16384,1000,49.03,334.17
32768,1000,98.07,334.14
65536,640,110.00,595.79
131072,320,133.78,979.78
262144,160,223.23,1174.33
524288,80,312.00,1680.41
1048576,40,496.07,2113.79
2097152,20,851.40,2463.19
4194304,10,1622.89,2584.46
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,17.71,0.00
1,1000,17.26,0.06
2,1000,17.30,0.12
